agents, http://data.nypl.org/agents/
bf, http://bibframe.org/vocab/
classify, http://purl.org/library/
carrier, http://id.loc.gov/authorities/carrierTypes/
data, http://data.nypl.org/datasets/
db, https://NEEDTOFIX.org/what-is-db/
dbo, http://www.dbpedia.org/ontology/
dbr, http://www.dbpedia.org/resource/
dcterms, http://purl.org/dc/terms/
edm, http://www.europeana.eu/schemas/edm
foaf, http://xmlns.com/foaf/0.1/
language, http://id.loc.gov/vocabulary/languages/
lc, http://id.loc.gov/authorities/names/
media, http://id.loc.gov/authorities/mediaTypes/
nypl, http://data.nypl.org/nypl-core/
nyplapp, http://data.nypl.org/nypl-application/
org, http://www.w3.org/ns/org#
orgs, http://data.nypl.org/organizations/
pcdm, http://pcdm.org/models#
rdf, http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs, https://www.w3.org/2000/01/rdf-schema
res, http://data.nypl.org/resources/
resourcetypes, http://id.loc.gov/vocabulary/resourceTypes/
roles, http://id.loc.gov/vocabulary/relators/
kos, http://www.w3.org/2004/02/skos/core#
schema, http://schema.org/
terms, http://data.nypl.org/terms/
urn, urn:x-nypl:
viaf, http://viaf.org/viaf/
wikidata, https://www.wikidata.org/wiki/
xsd, http://www.w3.org/2001/XMLSchema#
